year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,latitude,longitude,ontime_flight_chance,total_flights
YYYY format,MM format (1-12),Code assigned by US DOT to identify a unique airline carrier.,"Unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation.",A three character alpha-numeric code issued by the U.S. Department of Transportation which is the official designation of the airport.,A place from which aircraft operate that usually has paved runways and maintenance facilities and often serves as a terminal,,,Carrier Count for airline cause of delay,Weather Count for airline cause of delay,NAS (National Air System) Count for airline cause of delay,Security Count for airline cause of delay,Late Aircraft Delay Count for airline cause of delay,,,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.,"Carrier Delay, in Minutes","Weather Delay, in Minutes","National Air System Delay, in Minutes","Security Delay, in Minutes","Late Aircraft Delay, in Minutes",,,,
2024,7,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",771.0,340.0,96.76,10.65,74.07,0.17,158.35,23.0,7.0,29353.0,7445.0,1488.0,4559.0,14.0,15847.0,33.63740085,-84.42981606522355,68.0,1141.0
2024,6,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",745.0,307.0,96.57,12.31,42.45,0.26,155.41,18.0,0.0,30807.0,8760.0,1650.0,2308.0,35.0,18054.0,33.63740085,-84.42981606522355,70.0,1070.0
2024,5,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",632.0,263.0,75.38,13.24,38.24,0.93,135.21,27.0,1.0,22449.0,5284.0,1729.0,2043.0,44.0,13349.0,33.63740085,-84.42981606522355,68.0,923.0
2024,4,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",577.0,174.0,67.47,4.94,29.25,0.17,72.17,4.0,0.0,13170.0,4939.0,457.0,1314.0,13.0,6447.0,33.63740085,-84.42981606522355,76.0,755.0
2024,3,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",598.0,193.0,68.41,6.7,31.51,2.66,83.72,12.0,0.0,15355.0,4810.0,533.0,1594.0,65.0,8353.0,33.63740085,-84.42981606522355,74.0,803.0
2024,2,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",551.0,136.0,50.01,2.71,30.97,0.14,52.16,0.0,0.0,9448.0,4274.0,312.0,1002.0,9.0,3851.0,33.63740085,-84.42981606522355,80.0,687.0
2024,1,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",547.0,200.0,62.97,9.49,38.16,0.78,88.61,4.0,0.0,13160.0,3723.0,912.0,1624.0,25.0,6876.0,33.63740085,-84.42981606522355,73.0,751.0
2023,12,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",621.0,141.0,54.3,1.3,31.59,1.12,52.68,0.0,0.0,8562.0,3464.0,52.0,1091.0,47.0,3908.0,33.63740085,-84.42981606522355,81.0,762.0
2023,11,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",733.0,127.0,50.38,1.44,29.78,0.26,45.15,0.0,0.0,7244.0,3373.0,89.0,881.0,12.0,2889.0,33.63740085,-84.42981606522355,85.0,860.0
2023,10,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",756.0,146.0,60.06,2.92,26.74,0.0,56.28,3.0,1.0,8613.0,4089.0,127.0,994.0,0.0,3403.0,33.63740085,-84.42981606522355,83.0,906.0
